time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
9984,45.0,13788.009765625,,,,,,,,,,,,,,,,
19968,45.0,13788.009765625,,,,,,,,,,,,,,,,
29952,45.0,13788.009765625,,,,,,,,,,,,,,,,
39936,45.0,13788.009765625,,,,,,,,,,,,,,,,
49920,39.0,6275.1484375,0.2,0.003316228,2980129.93125,-0.002574470895827593,-9.5367431640625e-06,1474781.5,-2.8305100162823993,10,0.9919419288635254,0.0003,0.013332112630208334,,,,,
59904,39.0,6275.1484375,,,,,,,,,,,,,,,,
69888,39.0,6275.1484375,,,,,,,,,,,,,,,,
79872,39.0,6275.1484375,,,,,,,,,,,,,,,,
89856,39.0,6275.1484375,,,,,,,,,,,,,,,,
99840,39.0,12317.25390625,0.2,0.003059047,3235197.986458333,-0.0032978922725305894,3.7550926208496094e-06,1674811.75,-2.816181790828705,20,0.9862375259399414,0.0003,0.013734944661458333,,,,,
109824,39.0,12317.25390625,,,,,,,,,,,,,,,,
119808,39.0,12317.25390625,,,,,,,,,,,,,,,,
129792,39.0,12317.25390625,,,,,,,,,,,,,,,,
139776,39.0,12317.25390625,,,,,,,,,,,,,,,,
149760,36.0,11691.7958984375,0.2,0.0048636706,3310186.777083333,-0.004537348435405875,1.3113021850585938e-06,1689720.0,-2.80167320171992,30,0.9780513644218445,0.0003,0.02574462890625,,,,,
159744,36.0,11691.7958984375,,,,,,,,,,,,,,,,
169728,36.0,11691.7958984375,,,,,,,,,,,,,,,,
179712,36.0,11691.7958984375,,,,,,,,,,,,,,,,
189696,36.0,11691.7958984375,,,,,,,,,,,,,,,,
199680,19.0,7473.8623046875,0.2,0.0035599887,3730515.7135416665,-0.004038737760371684,6.556510925292969e-07,1841920.5,-2.7836005260547,40,0.9685413837432861,0.0003,0.011305745442708333,,,,,
209664,19.0,7473.8623046875,,,,,,,,,,,,,,,,
219648,19.0,7473.8623046875,,,,,,,,,,,,,,,,
229632,19.0,7473.8623046875,,,,,,,,,,,,,,,,
239616,19.0,7473.8623046875,,,,,,,,,,,,,,,,
249600,35.0,13710.681640625,0.2,0.0034023682,4257261.957291666,-0.004289858222667438,2.980232238769531e-07,2129921.5,-2.765122287472089,50,0.9607399702072144,0.0003,0.008925374348958333,,,,,
259584,35.0,13710.681640625,,,,,,,,,,,,,,,,
269568,35.0,13710.681640625,,,,,,,,,,,,,,,,
279552,35.0,13710.681640625,,,,,,,,,,,,,,,,
289536,35.0,13710.681640625,,,,,,,,,,,,,,,,
299520,33.0,13230.111328125,0.2,0.0034991775,4911091.1375,-0.004874822696729097,1.1920928955078125e-07,2500128.0,-2.7479299197594327,60,0.9524438381195068,0.0003,0.007794189453125,,,,,
309504,33.0,13230.111328125,,,,,,,,,,,,,,,,
319488,33.0,13230.111328125,,,,,,,,,,,,,,,,
329472,33.0,13230.111328125,,,,,,,,,,,,,,,,
339456,33.0,13230.111328125,,,,,,,,,,,,,,,,
349440,33.0,13694.865234375,0.2,0.0044397656,5369802.377083333,-0.006552192598367886,5.960464477539063e-08,2704266.0,-2.7275995016098022,70,0.9424419403076172,0.0003,0.021360270182291665,,,,,
359424,33.0,13694.865234375,,,,,,,,,,,,,,,,
369408,33.0,13694.865234375,,,,,,,,,,,,,,,,
379392,33.0,13694.865234375,,,,,,,,,,,,,,,,
389376,33.0,13694.865234375,,,,,,,,,,,,,,,,
399360,32.0,13320.5283203125,0.2,0.0037029714,6003055.95,-0.005705380474440366,0.0,2979518.25,-2.706974443793297,80,0.9333298802375793,0.0003,0.010799153645833334,,,,,
409344,32.0,13320.5283203125,,,,,,,,,,,,,,,,
419328,32.0,13320.5283203125,,,,,,,,,,,,,,,,
429312,32.0,13320.5283203125,,,,,,,,,,,,,,,,
439296,32.0,13320.5283203125,,,,,,,,,,,,,,,,
449280,29.0,12406.8623046875,0.2,0.0031646916,6636368.225,-0.005281217073691853,0.0,3301415.0,-2.6885742276906965,90,0.926385760307312,0.0003,0.01129150390625,,,,,
459264,29.0,12406.8623046875,,,,,,,,,,,,,,,,
469248,29.0,12406.8623046875,,,,,,,,,,,,,,,,
479232,29.0,12406.8623046875,,,,,,,,,,,,,,,,
489216,29.0,12406.8623046875,,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,,4736.7666015625,21.18,3084,10,159
499200,31.0,13308.333984375,0.2,0.0039034318,7407202.0875,-0.0060130083564824115,0.0,3561720.0,-2.6732650687297186,100,0.919935941696167,0.0003,0.020558675130208332,,,,,
509184,31.0,13308.333984375,,,,,,,,,,,,,,,,
519168,31.0,13308.333984375,,,,,,,,,,,,,,,,
529152,31.0,13308.333984375,,,,,,,,,,,,,,,,
539136,31.0,13308.333984375,,,,,,,,,,,,,,,,
