time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/value_loss,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean
9984,46.0,5147.42333984375,,,,,,,,,,,,,,,,
19968,46.0,5147.42333984375,,,,,,,,,,,,,,,,
29952,46.0,5147.42333984375,,,,,,,,,,,,,,,,
39936,46.0,5147.42333984375,,,,,,,,,,,,,,,,
49920,39.0,3158.502197265625,0.0033011634,0.2,230354.828125,0.0003,-0.0014187151615866849,0.011470540364583334,-1.0371208190917969e-05,0.9938465356826782,10,-2.8319461305936175,480388.1641927083,,,,,
59904,39.0,3158.502197265625,,,,,,,,,,,,,,,,
69888,39.0,3158.502197265625,,,,,,,,,,,,,,,,
79872,39.0,3158.502197265625,,,,,,,,,,,,,,,,
89856,39.0,3158.502197265625,,,,,,,,,,,,,,,,
99840,37.0,3356.03662109375,0.0030070532,0.2,243928.609375,0.0003,-0.0017516733884500961,0.009958902994791666,3.635883331298828e-06,0.9851272702217102,20,-2.8168220818042755,479701.20703125,,,,,
109824,37.0,3356.03662109375,,,,,,,,,,,,,,,,
119808,37.0,3356.03662109375,,,,,,,,,,,,,,,,
129792,37.0,3356.03662109375,,,,,,,,,,,,,,,,
139776,37.0,3356.03662109375,,,,,,,,,,,,,,,,
149760,36.0,3986.240966796875,0.0038692898,0.2,233985.890625,0.0003,-0.0025564285887715718,0.019230143229166666,9.5367431640625e-07,0.9766172170639038,30,-2.797857607404391,494358.2649739583,,,,,
159744,36.0,3986.240966796875,,,,,,,,,,,,,,,,
169728,36.0,3986.240966796875,,,,,,,,,,,,,,,,
179712,36.0,3986.240966796875,,,,,,,,,,,,,,,,
189696,36.0,3986.240966796875,,,,,,,,,,,,,,,,
199680,35.0,3280.145263671875,0.0038326972,0.2,259335.875,0.0003,-0.002814552568694732,0.014866129557291666,4.172325134277344e-07,0.9646050930023193,40,-2.777176899711291,519034.6192708333,,,,,
209664,35.0,3280.145263671875,,,,,,,,,,,,,,,,
219648,35.0,3280.145263671875,,,,,,,,,,,,,,,,
229632,35.0,3280.145263671875,,,,,,,,,,,,,,,,
239616,35.0,3280.145263671875,,,,,,,,,,,,,,,,
249600,34.0,3633.12890625,0.0034822915,0.2,274512.78125,0.0003,-0.0033008462230403285,0.017795817057291666,1.7881393432617188e-07,0.9578914642333984,50,-2.7567898839712144,553503.42109375,,,,,
259584,34.0,3633.12890625,,,,,,,,,,,,,,,,
269568,34.0,3633.12890625,,,,,,,,,,,,,,,,
279552,34.0,3633.12890625,,,,,,,,,,,,,,,,
289536,34.0,3633.12890625,,,,,,,,,,,,,,,,
299520,33.0,3573.56494140625,0.0031576138,0.2,294672.90625,0.0003,-0.003380772899254225,0.008799235026041666,1.1920928955078125e-07,0.9471126794815063,60,-2.738279605905215,602237.4671875,,,,,
309504,33.0,3573.56494140625,,,,,,,,,,,,,,,,
319488,33.0,3573.56494140625,,,,,,,,,,,,,,,,
329472,33.0,3573.56494140625,,,,,,,,,,,,,,,,
339456,33.0,3573.56494140625,,,,,,,,,,,,,,,,
349440,16.0,1303.025146484375,0.0033020496,0.2,335452.5625,0.0003,-0.00524673939216882,0.012263997395833334,5.960464477539063e-08,0.9372091293334961,70,-2.715132705370585,661420.4408854167,,,,,
359424,16.0,1303.025146484375,,,,,,,,,,,,,,,,
369408,16.0,1303.025146484375,,,,,,,,,,,,,,,,
379392,16.0,1303.025146484375,,,,,,,,,,,,,,,,
389376,16.0,1303.025146484375,,,,,,,,,,,,,,,,
399360,30.0,2762.48291015625,0.0027510524,0.2,369432.59375,0.0003,-0.005456870286919487,0.006402587890625,5.960464477539063e-08,0.9289432764053345,80,-2.694434329867363,728768.7140625,,,,,
409344,30.0,2762.48291015625,,,,,,,,,,,,,,,,
419328,30.0,2762.48291015625,,,,,,,,,,,,,,,,
429312,30.0,2762.48291015625,,,,,,,,,,,,,,,,
439296,30.0,2762.48291015625,,,,,,,,,,,,,,,,
449280,30.0,3399.21435546875,0.0038765075,0.2,405881.375,0.0003,-0.008204651033641616,0.029453531901041666,0.0,0.9209622740745544,90,-2.6745252241690953,807447.4953125,,,,,
459264,30.0,3399.21435546875,,,,,,,,,,,,,,,,
469248,30.0,3399.21435546875,,,,,,,,,,,,,,,,
479232,30.0,3399.21435546875,,,,,,,,,,,,,,,,
489216,30.0,3399.21435546875,,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,,2925,10,167,1782.0433349609375,25.04
499200,29.0,3707.16357421875,0.0042470605,0.2,448191.59375,0.0003,-0.007714914289438942,0.015622965494791667,0.0,0.9100831747055054,100,-2.652814808487892,900693.7322916667,,,,,
509184,29.0,3707.16357421875,,,,,,,,,,,,,,,,
519168,29.0,3707.16357421875,,,,,,,,,,,,,,,,
529152,29.0,3707.16357421875,,,,,,,,,,,,,,,,
539136,29.0,3707.16357421875,,,,,,,,,,,,,,,,
