time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/loss,train/clip_range,train/std,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
9984,23.0,-151.8914794921875,,,,,,,,,,,,,,,,
19968,23.0,-151.8914794921875,,,,,,,,,,,,,,,,
29952,23.0,-151.8914794921875,,,,,,,,,,,,,,,,
39936,23.0,-151.8914794921875,,,,,,,,,,,,,,,,
49920,22.0,-735.2066650390625,363062.0625,0.2,0.994962215423584,0.0043083034,-2.8321823040644327,752694.9513020833,0.0003,0.02706298828125,10,-0.0034493084152927623,-3.4570693969726562e-06,,,,,
59904,22.0,-735.2066650390625,,,,,,,,,,,,,,,,
69888,22.0,-735.2066650390625,,,,,,,,,,,,,,,,
79872,22.0,-735.2066650390625,,,,,,,,,,,,,,,,
89856,22.0,-735.2066650390625,,,,,,,,,,,,,,,,
99840,22.0,-980.7176513671875,356419.1875,0.2,0.9876852035522461,0.0037408958,-2.819883359471957,707717.1981770833,0.0003,0.018499755859375,20,-0.002456059052929049,-8.344650268554688e-07,,,,,
109824,22.0,-980.7176513671875,,,,,,,,,,,,,,,,
119808,22.0,-980.7176513671875,,,,,,,,,,,,,,,,
129792,22.0,-980.7176513671875,,,,,,,,,,,,,,,,
139776,22.0,-980.7176513671875,,,,,,,,,,,,,,,,
149760,24.0,-603.1351318359375,361197.75,0.2,0.9841717481613159,0.0040765167,-2.8093678414821626,717082.9700520834,0.0003,0.023878987630208334,30,-0.0029379936842209037,-3.5762786865234375e-07,,,,,
159744,24.0,-603.1351318359375,,,,,,,,,,,,,,,,
169728,24.0,-603.1351318359375,,,,,,,,,,,,,,,,
179712,24.0,-603.1351318359375,,,,,,,,,,,,,,,,
189696,24.0,-603.1351318359375,,,,,,,,,,,,,,,,
199680,25.0,-714.629150390625,318053.875,0.2,0.9783425331115723,0.00356884,-2.8000273923079173,672029.6395833333,0.0003,0.014310709635416667,40,-0.0022174507697248678,-1.1920928955078125e-07,,,,,
209664,25.0,-714.629150390625,,,,,,,,,,,,,,,,
219648,25.0,-714.629150390625,,,,,,,,,,,,,,,,
229632,25.0,-714.629150390625,,,,,,,,,,,,,,,,
239616,25.0,-714.629150390625,,,,,,,,,,,,,,,,
249600,56.0,1186.766357421875,323941.5,0.2,0.9714640378952026,0.0038952895,-2.785813189546267,650033.1322916667,0.0003,0.018623860677083333,50,-0.0026906150800641627,-2.384185791015625e-07,,,,,
259584,56.0,1186.766357421875,,,,,,,,,,,,,,,,
269568,56.0,1186.766357421875,,,,,,,,,,,,,,,,
279552,56.0,1186.766357421875,,,,,,,,,,,,,,,,
289536,56.0,1186.766357421875,,,,,,,,,,,,,,,,
299520,28.0,-535.3294677734375,304758.28125,0.2,0.965216338634491,0.0033301504,-2.7723442047834395,608462.5307291667,0.0003,0.014054361979166667,60,-0.0031353967715403996,-1.1920928955078125e-07,,,,,
309504,28.0,-535.3294677734375,,,,,,,,,,,,,,,,
319488,28.0,-535.3294677734375,,,,,,,,,,,,,,,,
329472,28.0,-535.3294677734375,,,,,,,,,,,,,,,,
339456,28.0,-535.3294677734375,,,,,,,,,,,,,,,,
349440,30.0,-530.0147094726562,282188.90625,0.2,0.9530467987060547,0.0037145286,-2.749408420920372,599848.3375,0.0003,0.020583089192708334,70,-0.0043720796403552715,-1.1920928955078125e-07,,,,,
359424,30.0,-530.0147094726562,,,,,,,,,,,,,,,,
369408,30.0,-530.0147094726562,,,,,,,,,,,,,,,,
379392,30.0,-530.0147094726562,,,,,,,,,,,,,,,,
389376,30.0,-530.0147094726562,,,,,,,,,,,,,,,,
399360,86.0,482.6820373535156,287390.84375,0.2,0.9421042799949646,0.0043479693,-2.7233756989240647,559881.4643229167,0.0003,0.025626627604166667,80,-0.005715210164877741,-1.1920928955078125e-07,,,,,
409344,86.0,482.6820373535156,,,,,,,,,,,,,,,,
419328,86.0,482.6820373535156,,,,,,,,,,,,,,,,
429312,86.0,482.6820373535156,,,,,,,,,,,,,,,,
439296,86.0,482.6820373535156,,,,,,,,,,,,,,,,
449280,90.0,3654.508544921875,241734.828125,0.2,0.940981388092041,0.0061635314,-2.7082297186056774,503738.9674479167,0.0003,0.0454833984375,90,-0.007572166032332461,-1.1920928955078125e-07,,,,,
459264,90.0,3654.508544921875,,,,,,,,,,,,,,,,
469248,90.0,3654.508544921875,,,,,,,,,,,,,,,,
479232,90.0,3654.508544921875,,,,,,,,,,,,,,,,
489216,90.0,3654.508544921875,,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,,10,1249,-138.7735595703125,393,43.6
499200,45.0,941.9636840820312,238911.890625,0.2,0.9356158971786499,0.0062113,-2.6961376557747525,484662.39895833336,0.0003,0.04591064453125,100,-0.006555532008254279,-1.1920928955078125e-07,,,,,
509184,45.0,941.9636840820312,,,,,,,,,,,,,,,,
519168,45.0,941.9636840820312,,,,,,,,,,,,,,,,
529152,45.0,941.9636840820312,,,,,,,,,,,,,,,,
539136,45.0,941.9636840820312,,,,,,,,,,,,,,,,
