#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-1064.211,2,0.870146
-1091.0691,2,0.870232
-918.4202,3,0.890766
-994.62195,3,0.89084
-1055.9156,2,0.905647
-1005.2728,4,0.90572
-1783.8121,5,0.920506
-1108.1284,5,0.920569
-844.7438,5,0.920584
-941.06415,6,0.936956
-1085.9081,2,0.956205
-1066.3025,4,0.973572
-2123.2515,8,0.973672
-2212.5464,4,0.987206
-999.99805,4,1.002625
-1031.6904,2,1.0027
-1054.6254,2,1.031177
-2193.5972,12,1.031246
-2517.1997,12,1.031262
-1395.8486,10,1.031271
-2111.3198,13,1.044695
-1297.7672,13,1.044763
-1912.331,6,1.068339
-1176.9805,17,1.103278
-3395.6104,10,1.103348
-2094.599,6,1.121995
-1832.9138,10,1.12205
-2978.0542,18,1.122063
-2968.48,5,1.122071
-2204.0918,8,1.148899
-652.1803,21,1.169232
-1026.4537,4,1.169288
-976.5216,3,1.169302
-1645.4425,10,1.199047
-1010.5809,3,1.215045
-1995.3235,20,1.215117
-1247.388,25,1.227618
-1057.6571,4,1.227717
-569.054,26,1.242407
-1392.8339,6,1.242472
-1171.6199,4,1.267126
-2091.1384,14,1.283722
-1382.5905,6,1.335682
-677.36957,23,1.360377
-1626.01,16,1.360484
-1223.7742,8,1.3605
-1414.4052,22,1.37867
-2113.897,7,1.418333
-1767.3263,12,1.432976
-956.98505,14,1.433043
-1466.7959,4,1.433057
-1314.5588,23,1.488118
-955.2186,41,1.48818
-2219.9707,25,1.528724
-1469.6676,4,1.557205
-1852.9049,13,1.576944
-1103.8175,3,1.577032
-1276.3164,9,1.577049
-1212.896,46,1.577058
-1035.9783,2,1.610941
-946.8823,15,1.629391
-1721.0222,8,1.629483
-918.38025,5,1.650516
-3154.5493,14,1.666296
-984.4068,3,1.681932
475.235,34,1.682001
-3685.1528,47,1.682019
-3076.1548,31,1.682038
313.45422,53,1.696269
-1985.6614,25,1.696325
-47.026123,53,1.696341
-783.11884,50,1.696347
-970.65753,3,1.752749
-1495.2839,4,1.752821
-943.6899,5,1.78697
-1138.7289,7,1.800356
-981.8832,12,1.828211
-1904.9462,9,1.843988
-3325.6191,12,1.844047
-753.7862,39,1.85728
162.53625,64,1.877165
-3366.1018,18,1.87724
-2386.3623,11,1.877256
-1082.8801,29,1.893638
-1144.766,4,1.908303
800.6081,34,1.929679
-2069.3513,12,1.948966
201.3324,57,1.965714
-1376.0769,6,1.965794
-1062.7454,3,1.96581
-1515.381,10,1.965817
-2044.7852,22,1.978123
-1083.2188,5,1.978396
712.24963,25,1.993851
1714.9479,69,2.005314
-1042.5403,3,2.005371
-1089.3074,5,2.016438
-1762.352,13,2.030766
-1905.8647,5,2.030871
-1511.1099,12,2.03089
-1223.6967,11,2.044218
-925.1644,7,2.060249
-1430.7563,18,2.060308
-1018.4744,14,2.094792
-2011.7012,6,2.094886
-915.57416,5,2.114748
1246.182,47,2.11485
-231.9491,43,2.128816
-1608.3254,6,2.128919
-4007.2769,9,2.144107
-2644.91,6,2.157819
-1283.4249,7,2.17695
-1399.5819,4,2.194846
-945.6645,3,2.194912
-2822.5283,6,2.194928
-1609.884,15,2.210611
-1015.34973,2,2.226722
344.91785,41,2.23932
-986.79694,3,2.2394
-1194.6597,17,2.239418
-1802.0363,25,2.268753
-915.068,14,2.268828
-898.9012,39,2.289215
-1005.02893,21,2.289271
-1137.9554,12,2.303851
-669.2283,39,2.303962
-1508.0867,4,2.303981
-1044.7765,5,2.322339
-972.224,5,2.322396
-1080.4535,2,2.322411
-952.1355,3,2.337716
-2039.2422,4,2.337795
-810.06055,67,2.337813
-1853.2279,10,2.33782
-569.66833,38,2.349661
-1276.4095,9,2.365906
-1092.1698,3,2.365975
-647.07764,16,2.383726
-1389.3827,4,2.383847
-1152.9148,3,2.383866
-1646.9393,17,2.383875
-968.83997,4,2.400166
-1588.5575,4,2.400241
-1165.7059,14,2.415939
-1136.0339,6,2.416012
-996.8846,3,2.433248
-614.3741,21,2.433308
-1567.8718,4,2.433339
-1026.4708,26,2.44746
-1686.0059,4,2.44756
-3504.4832,35,2.4788
-1483.2411,3,2.478873
-2098.7554,13,2.509835
-1020.53064,2,2.50995
-868.1387,16,2.522844
-3448.4167,13,2.552527
-1383.9424,8,2.552623
-2086.646,8,2.570307
-1264.8595,7,2.589804
-202.34259,57,2.589893
-474.5797,19,2.617951
-793.2051,19,2.618026
-2123.8342,17,2.655713
-1470.6332,28,2.689097
-1517.0568,4,2.704877
-1288.5499,7,2.72165
-819.2795,17,2.721757
-929.17566,6,2.736563
-905.139,19,2.736676
-994.74146,7,2.736702
-385.68854,43,2.736712
-843.27875,17,2.750937
-1075.0311,2,2.751013
-2738.6865,14,2.766861
-1490.2361,9,2.76693
-3446.5369,13,2.766947
-2030.7395,11,2.766965
-1043.019,2,2.798135
-1073.2046,4,2.798203
-1155.7366,6,2.812655
-834.60645,6,2.837038
978.4644,52,2.851866
-1578.2081,5,2.851939
-1780.6816,12,2.865907
-823.9469,25,2.865966
-1035.1814,2,2.885082
-3070.9885,11,2.911969
-863.0824,7,2.938566
-1155.1117,5,2.938639
-49.549377,34,2.953549
-942.2209,5,2.953611
-1388.5999,13,2.964666
-2018.4388,12,2.978331
-2776.5408,17,2.995672
-1573.2731,29,2.995759
-1533.51,7,3.019681
363.10046,53,3.03443
-2023.1737,11,3.034764
-1623.4946,10,3.089176
-1298.2491,17,3.103695
-168.9137,22,3.103788
-2232.68,20,3.103825
-2490.3936,7,3.118042
-1595.5056,9,3.118138
-2199.8198,29,3.139278
-1839.0918,11,3.139353
-2021.9592,13,3.151
-1032.8077,4,3.164656
-3370.9443,48,3.164742
-1663.1455,10,3.178023
-1100.5597,3,3.178096
-2004.5746,5,3.194926
345.36084,53,3.194992
-2595.274,17,3.195006
-1031.6647,5,3.209743
-932.5748,4,3.229878
-1483.303,4,3.229933
-1020.8031,2,3.229946
-1483.0104,7,3.264421
-2254.1895,33,3.264546
-968.9149,2,3.264565
66.15997,31,3.294279
-1011.3214,6,3.294365
-1115.9197,18,3.313018
-1841.2898,12,3.313085
-1161.5383,4,3.331087
-1521.3699,57,3.331173
-1388.9882,9,3.3312
-989.97,2,3.343452
349.50275,26,3.361604
-1066.1439,4,3.377189
-1271.4167,7,3.377263
-4017.2036,27,3.422912
-3521.4404,20,3.42297
-1087.3334,3,3.422985
-1247.6473,16,3.458324
-1067.6698,24,3.458379
-2447.066,31,3.472786
-1255.6989,47,3.472856
-2595.5083,51,3.487233
-3360.6167,67,3.487294
-2996.086,6,3.50729
-1882.4163,15,3.522561
-213.65582,18,3.542938
-987.78015,4,3.543001
-997.53705,4,3.555704
-494.22174,23,3.555782
