time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/std,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps
9984,22.0,232.3771514892578,,,,,,,,,,,,,,,,
19968,22.0,232.3771514892578,,,,,,,,,,,,,,,,
29952,22.0,232.3771514892578,,,,,,,,,,,,,,,,
39936,22.0,232.3771514892578,,,,,,,,,,,,,,,,
49920,6.0,-954.7349853515625,0.9981956481933594,373238.4375,0.2,10,0.0003,-2.8361530244350432,-0.0039143019942760775,0.038100179036458334,-6.4373016357421875e-06,747642.6950520833,0.004490662,,,,,
59904,6.0,-954.7349853515625,,,,,,,,,,,,,,,,
69888,6.0,-954.7349853515625,,,,,,,,,,,,,,,,
79872,6.0,-954.7349853515625,,,,,,,,,,,,,,,,
89856,6.0,-954.7349853515625,,,,,,,,,,,,,,,,
99840,7.0,-1015.1672973632812,0.9925304055213928,386690.75,0.2,20,0.0003,-2.8294642895460127,-0.001529630463240513,0.01268310546875,-2.384185791015625e-07,741455.8705729167,0.0034217527,,,,,
109824,7.0,-1015.1672973632812,,,,,,,,,,,,,,,,
119808,7.0,-1015.1672973632812,,,,,,,,,,,,,,,,
129792,7.0,-1015.1672973632812,,,,,,,,,,,,,,,,
139776,7.0,-1015.1672973632812,,,,,,,,,,,,,,,,
149760,27.0,-1150.8836669921875,0.9860347509384155,348313.09375,0.2,30,0.0003,-2.8159447064002356,-0.0023292159331807245,0.0215576171875,-4.76837158203125e-07,738907.8104166667,0.0041487957,,,,,
159744,27.0,-1150.8836669921875,,,,,,,,,,,,,,,,
169728,27.0,-1150.8836669921875,,,,,,,,,,,,,,,,
179712,27.0,-1150.8836669921875,,,,,,,,,,,,,,,,
189696,27.0,-1150.8836669921875,,,,,,,,,,,,,,,,
199680,26.0,-1614.92822265625,0.9790180921554565,342874.90625,0.2,40,0.0003,-2.802173083027204,-0.002022304833129359,0.016778564453125,-1.1920928955078125e-07,683831.1052083333,0.0035429678,,,,,
209664,26.0,-1614.92822265625,,,,,,,,,,,,,,,,
219648,26.0,-1614.92822265625,,,,,,,,,,,,,,,,
229632,26.0,-1614.92822265625,,,,,,,,,,,,,,,,
239616,26.0,-1614.92822265625,,,,,,,,,,,,,,,,
249600,27.0,-1669.277099609375,0.9725697636604309,341547.65625,0.2,50,0.0003,-2.787823105851809,-0.0025686491460267763,0.022147623697916667,0.0,693817.7888020833,0.0041695763,,,,,
259584,27.0,-1669.277099609375,,,,,,,,,,,,,,,,
269568,27.0,-1669.277099609375,,,,,,,,,,,,,,,,
279552,27.0,-1669.277099609375,,,,,,,,,,,,,,,,
289536,27.0,-1669.277099609375,,,,,,,,,,,,,,,,
299520,50.0,-1474.671630859375,0.9670259952545166,342044.4375,0.2,60,0.0003,-2.774791688720385,-0.001740845050274705,0.015372721354166667,0.0,666256.7395833334,0.0038917193,,,,,
309504,50.0,-1474.671630859375,,,,,,,,,,,,,,,,
319488,50.0,-1474.671630859375,,,,,,,,,,,,,,,,
329472,50.0,-1474.671630859375,,,,,,,,,,,,,,,,
339456,50.0,-1474.671630859375,,,,,,,,,,,,,,,,
349440,10.0,-1213.383056640625,0.9613076448440552,315636.78125,0.2,70,0.0003,-2.762721167008082,-0.0025534833844479484,0.02296142578125,0.0,633988.0848958333,0.003733891,,,,,
359424,10.0,-1213.383056640625,,,,,,,,,,,,,,,,
369408,10.0,-1213.383056640625,,,,,,,,,,,,,,,,
379392,10.0,-1213.383056640625,,,,,,,,,,,,,,,,
389376,10.0,-1213.383056640625,,,,,,,,,,,,,,,,
399360,37.0,-1376.671875,0.9552789926528931,307733.1875,0.2,80,0.0003,-2.7501547505458195,-0.002415034642278139,0.02022705078125,-1.1920928955078125e-07,620610.3515625,0.0038962613,,,,,
409344,37.0,-1376.671875,,,,,,,,,,,,,,,,
419328,37.0,-1376.671875,,,,,,,,,,,,,,,,
429312,37.0,-1376.671875,,,,,,,,,,,,,,,,
439296,37.0,-1376.671875,,,,,,,,,,,,,,,,
449280,33.0,-2688.7880859375,0.9465997219085693,300958.0625,0.2,90,0.0003,-2.733798203865687,-0.0027466713157385434,0.021976725260416666,0.0,605609.8981770833,0.004275756,,,,,
459264,33.0,-2688.7880859375,,,,,,,,,,,,,,,,
469248,33.0,-2688.7880859375,,,,,,,,,,,,,,,,
479232,33.0,-2688.7880859375,,,,,,,,,,,,,,,,
489216,33.0,-2688.7880859375,,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,,10,29.6,360,-1124.774169921875,1362
499200,14.0,-1281.2900390625,0.9396622180938721,301586.78125,0.2,100,0.0003,-2.7158101707696916,-0.003024520806745083,0.022422281901041667,-1.1920928955078125e-07,579604.50078125,0.0040513095,,,,,
509184,14.0,-1281.2900390625,,,,,,,,,,,,,,,,
519168,14.0,-1281.2900390625,,,,,,,,,,,,,,,,
529152,14.0,-1281.2900390625,,,,,,,,,,,,,,,,
539136,14.0,-1281.2900390625,,,,,,,,,,,,,,,,
