time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/clip_fraction,train/learning_rate,train/loss,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/explained_variance,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
9984,23.0,106.9853515625,,,,,,,,,,,,,,,,
19968,23.0,106.9853515625,,,,,,,,,,,,,,,,
29952,23.0,106.9853515625,,,,,,,,,,,,,,,,
39936,23.0,106.9853515625,,,,,,,,,,,,,,,,
49920,31.0,-452.5557556152344,530376.705859375,0.04809163411458333,0.0003,264133.8125,0.9954434633255005,-2.8330308576424916,0.0051285424,10,0.2,-0.004538955823712361,1.4126300811767578e-05,,,,,
59904,31.0,-452.5557556152344,,,,,,,,,,,,,,,,
69888,31.0,-452.5557556152344,,,,,,,,,,,,,,,,
79872,31.0,-452.5557556152344,,,,,,,,,,,,,,,,
89856,31.0,-452.5557556152344,,,,,,,,,,,,,,,,
99840,27.0,459.75811767578125,534850.1345052083,0.03616129557291667,0.0003,260273.265625,0.9928513765335083,-2.825388878583908,0.0047612046,20,0.2,-0.003317932661351127,3.039836883544922e-06,,,,,
109824,27.0,459.75811767578125,,,,,,,,,,,,,,,,
119808,27.0,459.75811767578125,,,,,,,,,,,,,,,,
129792,27.0,459.75811767578125,,,,,,,,,,,,,,,,
139776,27.0,459.75811767578125,,,,,,,,,,,,,,,,
149760,33.0,361.74066162109375,538363.1149739583,0.043009440104166664,0.0003,267839.34375,0.9862947463989258,-2.814381099740664,0.00511335,30,0.2,-0.004549821433223163,1.430511474609375e-06,,,,,
159744,33.0,361.74066162109375,,,,,,,,,,,,,,,,
169728,33.0,361.74066162109375,,,,,,,,,,,,,,,,
179712,33.0,361.74066162109375,,,,,,,,,,,,,,,,
189696,33.0,361.74066162109375,,,,,,,,,,,,,,,,
199680,31.0,572.96435546875,541211.4591145833,0.045583089192708336,0.0003,265458.40625,0.9808734655380249,-2.8018542786439258,0.0053613074,40,0.2,-0.005010008977842517,1.1920928955078125e-06,,,,,
209664,31.0,572.96435546875,,,,,,,,,,,,,,,,
219648,31.0,572.96435546875,,,,,,,,,,,,,,,,
229632,31.0,572.96435546875,,,,,,,,,,,,,,,,
239616,31.0,572.96435546875,,,,,,,,,,,,,,,,
249600,69.0,2910.0,520916.17552083335,0.04168497721354167,0.0003,264251.78125,0.9734398722648621,-2.7851158916950225,0.004902826,50,0.2,-0.005278337997636603,1.7881393432617188e-06,,,,,
259584,69.0,2910.0,,,,,,,,,,,,,,,,
269568,69.0,2910.0,,,,,,,,,,,,,,,,
279552,69.0,2910.0,,,,,,,,,,,,,,,,
289536,69.0,2910.0,,,,,,,,,,,,,,,,
299520,90.0,4186.744140625,553561.6165364584,0.022837320963541668,0.0003,266967.65625,0.970752477645874,-2.7815236280361813,0.0042654932,60,0.2,-0.0030434017098741606,0.004109382629394531,,,,,
309504,90.0,4186.744140625,,,,,,,,,,,,,,,,
319488,90.0,4186.744140625,,,,,,,,,,,,,,,,
329472,90.0,4186.744140625,,,,,,,,,,,,,,,,
339456,90.0,4186.744140625,,,,,,,,,,,,,,,,
349440,80.0,2813.5888671875,565707.72265625,0.026125081380208335,0.0003,279471.96875,0.9686432480812073,-2.776710038383802,0.00473099,70,0.2,-0.003728054865496233,0.01115119457244873,,,,,
359424,80.0,2813.5888671875,,,,,,,,,,,,,,,,
369408,80.0,2813.5888671875,,,,,,,,,,,,,,,,
379392,80.0,2813.5888671875,,,,,,,,,,,,,,,,
389376,80.0,2813.5888671875,,,,,,,,,,,,,,,,
399360,51.0,1805.916015625,593197.75625,0.020068359375,0.0003,296605.25,0.9659987688064575,-2.77155464887619,0.0043651653,80,0.2,-0.003027939280339827,0.0156705379486084,,,,,
409344,51.0,1805.916015625,,,,,,,,,,,,,,,,
419328,51.0,1805.916015625,,,,,,,,,,,,,,,,
429312,51.0,1805.916015625,,,,,,,,,,,,,,,,
439296,51.0,1805.916015625,,,,,,,,,,,,,,,,
449280,60.0,2239.668212890625,598563.6661458333,0.022359212239583332,0.0003,307689.5625,0.9640011787414551,-2.766782519221306,0.0045847814,90,0.2,-0.0031562883261358364,0.019842982292175293,,,,,
459264,60.0,2239.668212890625,,,,,,,,,,,,,,,,
469248,60.0,2239.668212890625,,,,,,,,,,,,,,,,
479232,60.0,2239.668212890625,,,,,,,,,,,,,,,,
489216,60.0,2239.668212890625,,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,,749,10,655,174.65362548828125,34.92
499200,255.0,18532.48828125,625949.5580729167,0.022355143229166666,0.0003,304916.46875,0.9611717462539673,-2.7619702935218813,0.0044559245,100,0.2,-0.0031356591884105,0.02430582046508789,,,,,
509184,255.0,18532.48828125,,,,,,,,,,,,,,,,
519168,255.0,18532.48828125,,,,,,,,,,,,,,,,
529152,255.0,18532.48828125,,,,,,,,,,,,,,,,
539136,255.0,18532.48828125,,,,,,,,,,,,,,,,
