eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
161.65679931640625,23.0,9984,,,,,,,,,,,,,,,,
161.65679931640625,23.0,19968,,,,,,,,,,,,,,,,
161.65679931640625,23.0,29952,,,,,,,,,,,,,,,,
161.65679931640625,23.0,39936,,,,,,,,,,,,,,,,
-260.55511474609375,25.0,49920,0.9958736896514893,548130.5552083333,0.045355224609375,10,0.0051468485,266230.96875,-0.004127160024169522,0.2,-2.8333073993523916,-8.225440979003906e-06,0.0003,,,,,
-260.55511474609375,25.0,59904,,,,,,,,,,,,,,,,
-260.55511474609375,25.0,69888,,,,,,,,,,,,,,,,
-260.55511474609375,25.0,79872,,,,,,,,,,,,,,,,
-260.55511474609375,25.0,89856,,,,,,,,,,,,,,,,
358.70452880859375,27.0,99840,0.9914675951004028,523204.09348958335,0.04730021158854167,20,0.0050219973,273040.71875,-0.004480002688069362,0.2,-2.823886359731356,2.384185791015625e-07,0.0003,,,,,
358.70452880859375,27.0,109824,,,,,,,,,,,,,,,,
358.70452880859375,27.0,119808,,,,,,,,,,,,,,,,
358.70452880859375,27.0,129792,,,,,,,,,,,,,,,,
358.70452880859375,27.0,139776,,,,,,,,,,,,,,,,
27.3497314453125,35.0,149760,0.9856204390525818,518400.424609375,0.05013427734375,30,0.0055738073,263214.53125,-0.00537265570795474,0.2,-2.8125699132680895,2.980232238769531e-07,0.0003,,,,,
27.3497314453125,35.0,159744,,,,,,,,,,,,,,,,
27.3497314453125,35.0,169728,,,,,,,,,,,,,,,,
27.3497314453125,35.0,179712,,,,,,,,,,,,,,,,
27.3497314453125,35.0,189696,,,,,,,,,,,,,,,,
1144.432861328125,64.0,199680,0.9774384498596191,515808.92747395835,0.04052937825520833,40,0.0050146156,263638.40625,-0.004739844107340711,0.2,-2.7961683521668115,2.384185791015625e-07,0.0003,,,,,
1144.432861328125,64.0,209664,,,,,,,,,,,,,,,,
1144.432861328125,64.0,219648,,,,,,,,,,,,,,,,
1144.432861328125,64.0,229632,,,,,,,,,,,,,,,,
1144.432861328125,64.0,239616,,,,,,,,,,,,,,,,
2343.427734375,68.0,249600,0.9716227054595947,516956.43450520834,0.062164306640625,50,0.0065482818,247422.484375,-0.0072435048336046744,0.2,-2.781093940138817,4.172325134277344e-07,0.0003,,,,,
2343.427734375,68.0,259584,,,,,,,,,,,,,,,,
2343.427734375,68.0,269568,,,,,,,,,,,,,,,,
2343.427734375,68.0,279552,,,,,,,,,,,,,,,,
2343.427734375,68.0,289536,,,,,,,,,,,,,,,,
410.6963806152344,41.0,299520,0.9655680656433105,537310.9365885417,0.03744303385416667,60,0.0049497504,263283.78125,-0.005179136065513982,0.2,-2.7711434731880824,0.00012570619583129883,0.0003,,,,,
410.6963806152344,41.0,309504,,,,,,,,,,,,,,,,
410.6963806152344,41.0,319488,,,,,,,,,,,,,,,,
410.6963806152344,41.0,329472,,,,,,,,,,,,,,,,
410.6963806152344,41.0,339456,,,,,,,,,,,,,,,,
1139.6649169921875,45.0,349440,0.9616822004318237,531059.1190104167,0.028424072265625,70,0.0048730755,273064.59375,-0.003385012206369235,0.2,-2.7637778878211976,0.0068566203117370605,0.0003,,,,,
1139.6649169921875,45.0,359424,,,,,,,,,,,,,,,,
1139.6649169921875,45.0,369408,,,,,,,,,,,,,,,,
1139.6649169921875,45.0,379392,,,,,,,,,,,,,,,,
1139.6649169921875,45.0,389376,,,,,,,,,,,,,,,,
5474.10791015625,99.0,399360,0.9586002230644226,582784.0869791667,0.029742431640625,80,0.0047358125,287905.1875,-0.003583927308257747,0.2,-2.756341126561165,0.013141632080078125,0.0003,,,,,
5474.10791015625,99.0,409344,,,,,,,,,,,,,,,,
5474.10791015625,99.0,419328,,,,,,,,,,,,,,,,
5474.10791015625,99.0,429312,,,,,,,,,,,,,,,,
5474.10791015625,99.0,439296,,,,,,,,,,,,,,,,
7248.6142578125,119.0,449280,0.9556348323822021,609601.0359375,0.0213134765625,90,0.004508207,301462.40625,-0.003083230471141481,0.2,-2.7504508972167967,0.01872462034225464,0.0003,,,,,
7248.6142578125,119.0,459264,,,,,,,,,,,,,,,,
7248.6142578125,119.0,469248,,,,,,,,,,,,,,,,
7248.6142578125,119.0,479232,,,,,,,,,,,,,,,,
7248.6142578125,119.0,489216,,,,,,,,,,,,,,,,
,,491520,,,,,,,,,,,,310,10,39.08,1581,507.2769775390625
3234.630126953125,76.0,499200,0.9525735378265381,621328.2174479166,0.017814127604166667,100,0.0042212764,312109.78125,-0.0026063342195508693,0.2,-2.7443388332923253,0.01979982852935791,0.0003,,,,,
3234.630126953125,76.0,509184,,,,,,,,,,,,,,,,
3234.630126953125,76.0,519168,,,,,,,,,,,,,,,,
3234.630126953125,76.0,529152,,,,,,,,,,,,,,,,
3234.630126953125,76.0,539136,,,,,,,,,,,,,,,,
