Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,GADM Administrative Boundaries v4.1,GADM,Vector,Vector,Global,gadm_fetch,Free for non-commercial,Annual,"5 levels: country, state, district, municipality, sub-municipality"
GLOBAL,GL,Natural Earth Admin Boundaries,Natural Earth,Vector (1:10m/50m/110m),Vector,Global,natural_earth_admin_fetch (guidance),Public Domain,Annual,"3 scales, simplified boundaries for mapping"
GLOBAL,GL,geoBoundaries v5.0,William & Mary,Vector,Vector,Global,geoboundaries_fetch (guidance),Free/Open,Annual,"199 countries, multiple admin levels, open license"
GLOBAL,GL,World Bank Official Boundaries,World Bank,Vector,Vector,Global,worldbank_boundaries_fetch (guidance),CC-BY 4.0,Varies,"Internationally recognized boundaries"
USA,US,TIGER/Line Boundaries,US Census,Vector,Vector,USA,tiger_boundaries_fetch (guidance),Public Domain,Annual,"States, counties, census tracts, blocks"
USA,US,Census Block Groups,US Census,Vector,Vector,USA,census_blockgroups_fetch (guidance),Public Domain,Every 10 years,"Smallest geographic unit for census data"
USA,US,Census Tracts,US Census,Vector,Vector,USA,census_tracts_fetch (guidance),Public Domain,Every 10 years,"Neighborhood-level census geography"
USA,US,County Boundaries,US Census,Vector,Vector,USA,tiger_counties_fetch (guidance),Public Domain,Annual,"3143 counties and equivalents"
USA,US,State Boundaries,US Census,Vector,Vector,USA,tiger_states_fetch (guidance),Public Domain,Annual,"50 states + DC + territories"
USA,US,Municipal Boundaries,US Census,Vector,Vector,USA,tiger_places_fetch (guidance),Public Domain,Annual,"Cities, towns, villages"
USA,US,ZIP Code Tabulation Areas,US Census,Vector,Vector,USA,zcta_fetch (guidance),Public Domain,Every 10 years,"Postal code areas"
USA,US,Congressional Districts,US Census,Vector,Vector,USA,tiger_congress_fetch (guidance),Public Domain,After redistricting,"Federal legislative districts"
USA,US,Tribal Lands,BIA/Census,Vector,Vector,USA,tribal_lands_fetch (guidance),Public Domain,Annual,"574 federally recognized tribes"
Canada,CA,Census Boundaries,Statistics Canada,Vector,Vector,Canada,statcan_boundaries_fetch (guidance),Free/Open,Every 5 years,"Provinces, census divisions, subdivisions, tracts"
Canada,CA,Provincial Boundaries,Statistics Canada,Vector,Vector,Canada,statcan_provinces_fetch (guidance),Free/Open,Static,"10 provinces + 3 territories"
Canada,CA,Census Divisions,Statistics Canada,Vector,Vector,Canada,statcan_divisions_fetch (guidance),Free/Open,Every 5 years,"293 census divisions"
Canada,CA,Census Subdivisions,Statistics Canada,Vector,Vector,Canada,statcan_subdivisions_fetch (guidance),Free/Open,Every 5 years,"5162 municipalities and equivalents"
Canada,CA,Federal Electoral Districts,Elections Canada,Vector,Vector,Canada,elections_canada_fetch (guidance),Free/Open,After redistricting,"338 federal ridings"
Canada,CA,CanVec Administrative,NRCan,Vector,Vector,Canada,canvec_admin_fetch (guidance),Free/Open,Annual,"Administrative features from national database"
Europe,EU,NUTS Regions,Eurostat,Vector,Vector,EU27,nuts_fetch (guidance),Free/Open,Every 3 years,"Nomenclature of Territorial Units: NUTS 0/1/2/3"
Europe,EU,LAU Local Administrative Units,Eurostat,Vector,Vector,EU27,lau_fetch (guidance),Free/Open,Annual,"Municipalities and communes"
Europe,EU,Eurostat Country Boundaries,Eurostat,Vector (1:1M/10M),Vector,Europe,eurostat_boundaries_fetch (guidance),Free/Open,Annual,"Official EU country boundaries"
France,FR,ADMIN EXPRESS,IGN France,Vector,Vector,France,admin_express_fetch (guidance),Free/Open,Continuous,"Regions, departments, arrondissements, cantons, communes"
France,FR,Communes,IGN,Vector,Vector,France,communes_france_fetch (guidance),Free/Open,Annual,"35000+ French communes"
France,FR,Departments,IGN,Vector,Vector,France,departments_france_fetch (guidance),Free/Open,Annual,"96 metropolitan + 5 overseas departments"
France,FR,Regions,IGN,Vector,Vector,France,regions_france_fetch (guidance),Free/Open,Annual,"13 metropolitan + 5 overseas regions"
Germany,DE,VG250 Administrative Units,BKG,Vector (1:250k),Vector,Germany,vg250_fetch (guidance),Free/Open,Annual,"Federal states, districts, municipalities"
Germany,DE,Gemeinden (Municipalities),BKG,Vector,Vector,Germany,gemeinden_fetch (guidance),Free/Open,Annual,"11000+ German municipalities"
Germany,DE,Kreise (Districts),BKG,Vector,Vector,Germany,kreise_fetch (guidance),Free/Open,Annual,"401 districts"
Germany,DE,Bundeslaender (States),BKG,Vector,Vector,Germany,bundeslaender_fetch (guidance),Free/Open,Annual,"16 federal states"
Italy,IT,ISTAT Administrative Boundaries,ISTAT,Vector,Vector,Italy,istat_boundaries_fetch,Free/Open,Annual,"Regions, provinces, municipalities"
Italy,IT,Comuni (Municipalities),ISTAT,Vector,Vector,Italy,comuni_fetch (guidance),Free/Open,Annual,"7900+ Italian municipalities"
Italy,IT,Province (Provinces),ISTAT,Vector,Vector,Italy,province_fetch (guidance),Free/Open,Annual,"107 provinces"
Italy,IT,Regioni (Regions),ISTAT,Vector,Vector,Italy,regioni_fetch (guidance),Free/Open,Annual,"20 regions"
Spain,ES,Limites Administrativos,IGN Spain,Vector,Vector,Spain,ign_admin_fetch (guidance),Free/Open,Annual,"Autonomous communities, provinces, municipalities"
Spain,ES,Municipios,INE Spain,Vector,Vector,Spain,municipios_fetch (guidance),Free/Open,Annual,"8000+ Spanish municipalities"
Spain,ES,Provincias,INE,Vector,Vector,Spain,provincias_fetch (guidance),Free/Open,Annual,"50 provinces"
UK,GB,Local Authority Boundaries,ONS,Vector,Vector,UK,ons_boundaries_fetch (guidance),Open,Annual,"Districts, counties, unitary authorities"
UK,GB,Parishes,ONS,Vector,Vector,UK (England),parishes_fetch (guidance),Open,Varies,"Civil parishes"
UK,GB,Electoral Wards,ONS,Vector,Vector,UK,wards_fetch (guidance),Open,After elections,"Electoral divisions"
UK,GB,Postcode Boundaries,ONS,Vector,Vector,UK,postcodes_uk_fetch (guidance),Open,Quarterly,"UK postal sectors and districts"
Norway,NO,Administrative Units,Kartverket,Vector,Vector,Norway,kartverket_admin_fetch (guidance),Free/Open,Annual,"Counties, municipalities"
Norway,NO,Kommuner (Municipalities),Kartverket,Vector,Vector,Norway,kommuner_fetch (guidance),Free/Open,Annual,"356 Norwegian municipalities"
Norway,NO,Fylker (Counties),Kartverket,Vector,Vector,Norway,fylker_fetch (guidance),Free/Open,Annual,"11 counties"
Russia,RU,Russian Federal Subjects,Rosreestr,Vector,Vector,Russia,rosreestr_admin_fetch (guidance),Varies,Varies,"85 federal subjects (limited open access)"
Russia,RU,GADM Russia,GADM,Vector,Vector,Russia (use GADM),gadm_fetch,Free non-commercial,Annual,"Best open alternative for Russian admin boundaries"
China,CN,Provincial Boundaries China,NFGIS,Vector,Vector,China,nfgis_provinces_fetch (guidance),Restricted,Varies,"34 provincial-level divisions (limited access)"
China,CN,GADM China,GADM,Vector,Vector,China (use GADM),gadm_fetch,Free non-commercial,Annual,"Open alternative, use with caution for disputed areas"
Australia,AU,Australian Statistical Geography,ABS,Vector,Vector,Australia,asgs_fetch (guidance),Free/Open,Every 5 years,"States, LGAs, SA1/2/3/4 statistical areas"
Australia,AU,Local Government Areas,ABS,Vector,Vector,Australia,lga_australia_fetch (guidance),Free/Open,Annual,"537 local government areas"
Australia,AU,States and Territories,ABS,Vector,Vector,Australia,states_australia_fetch (guidance),Free/Open,Static,"6 states + 2 territories"
Saudi Arabia,SA,GADM Saudi Arabia,GADM,Vector,Vector,Saudi Arabia (use GADM),gadm_fetch,Free non-commercial,Annual,"13 provinces, best open source"
UAE,AE,GADM UAE,GADM,Vector,Vector,UAE (use GADM),gadm_fetch,Free non-commercial,Annual,"7 emirates"
Qatar,QA,GADM Qatar,GADM,Vector,Vector,Qatar (use GADM),gadm_fetch,Free non-commercial,Annual,"8 municipalities"
Kuwait,KW,GADM Kuwait,GADM,Vector,Vector,Kuwait (use GADM),gadm_fetch,Free non-commercial,Annual,"6 governorates"
Iraq,IQ,GADM Iraq,GADM,Vector,Vector,Iraq (use GADM),gadm_fetch,Free non-commercial,Annual,"19 governorates"
Iran,IR,GADM Iran,GADM,Vector,Vector,Iran (use GADM),gadm_fetch,Free non-commercial,Annual,"31 provinces"
Brazil,BR,IBGE Malha Municipal,IBGE,Vector,Vector,Brazil,ibge_malha_fetch (guidance),Free/Open,Annual,"States, mesoregions, microregions, municipalities"
Brazil,BR,Municipios Brazil,IBGE,Vector,Vector,Brazil,municipios_brazil_fetch (guidance),Free/Open,Annual,"5570 Brazilian municipalities"
Brazil,BR,Estados (States),IBGE,Vector,Vector,Brazil,estados_brazil_fetch (guidance),Free/Open,Annual,"26 states + federal district"
Venezuela,VE,GADM Venezuela,GADM,Vector,Vector,Venezuela (use GADM),gadm_fetch,Free non-commercial,Annual,"23 states + capital district"
Mexico,MX,Marco Geoestadistico,INEGI,Vector,Vector,Mexico,inegi_marco_fetch (guidance),Free/Open,Annual,"States, municipalities, localities"
Mexico,MX,Municipios Mexico,INEGI,Vector,Vector,Mexico,municipios_mexico_fetch (guidance),Free/Open,Annual,"2469 municipalities"
Mexico,MX,Estados Mexico,INEGI,Vector,Vector,Mexico,estados_mexico_fetch (guidance),Free/Open,Annual,"32 states"
Nigeria,NG,GADM Nigeria,GADM,Vector,Vector,Nigeria (use GADM),gadm_fetch,Free non-commercial,Annual,"36 states + FCT, 774 LGAs"
Algeria,DZ,GADM Algeria,GADM,Vector,Vector,Algeria (use GADM),gadm_fetch,Free non-commercial,Annual,"58 provinces (wilayas)"
Angola,AO,GADM Angola,GADM,Vector,Vector,Angola (use GADM),gadm_fetch,Free non-commercial,Annual,"18 provinces"
Libya,LY,GADM Libya,GADM,Vector,Vector,Libya (use GADM),gadm_fetch,Free non-commercial,Annual,"Districts"
Kazakhstan,KZ,GADM Kazakhstan,GADM,Vector,Vector,Kazakhstan (use GADM),gadm_fetch,Free non-commercial,Annual,"14 regions + 3 cities"
Oman,OM,GADM Oman,GADM,Vector,Vector,Oman (use GADM),gadm_fetch,Free non-commercial,Annual,"11 governorates"
Indonesia,ID,Batas Administrasi,BIG,Vector,Vector,Indonesia,big_admin_fetch (guidance),Free/Open,Annual,"Provinces, regencies, districts, villages"
Indonesia,ID,Provinces Indonesia,BIG,Vector,Vector,Indonesia,provinces_indonesia_fetch (guidance),Free/Open,Annual,"38 provinces"
Malaysia,MY,GADM Malaysia,GADM,Vector,Vector,Malaysia (use GADM),gadm_fetch,Free non-commercial,Annual,"13 states + 3 federal territories"
Azerbaijan,AZ,GADM Azerbaijan,GADM,Vector,Vector,Azerbaijan (use GADM),gadm_fetch,Free non-commercial,Annual,"Districts and cities"
Egypt,EG,GADM Egypt,GADM,Vector,Vector,Egypt (use GADM),gadm_fetch,Free non-commercial,Annual,"27 governorates"



