Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,OpenStreetMap Landuse Polygons,OSM Community,Vector,Vector,Global (variable coverage),osm_landuse_fetch (guidance),ODbL,Continuous,"Community-mapped land parcels and usage, incomplete but growing"
USA,US,TIGER/Line Legal/Statistical Areas,US Census,Vector,Vector,USA,tiger_parcels_fetch (guidance),Public Domain,Annual,"Legal boundaries but not cadastral parcels"
USA,US,County Assessor Parcel Data,County Governments,Vector,Vector,USA (by county),county_parcels_fetch (guidance),Varies by county,Varies,"3000+ counties, each maintains own system"
USA,US,ParcelQuest National Parcel Database,CoreLogic/ParcelQuest,Vector,Vector,USA,parcelquest_fetch (guidance),Commercial,Continuous,"150M+ parcels, commercial subscription"
USA,US,Regrid Parcel Data,Regrid,Vector,Vector,USA,regrid_fetch (guidance),Commercial API,Continuous,"Nationwide parcel boundaries and ownership"
USA,US,Zillow ZTRAX Property Data,Zillow,Vector,Vector,USA,ztrax_fetch (guidance),Academic/Research,Static snapshots,"Property transactions and boundaries for research"
USA,US,BLM Land Status,BLM,Vector,Vector,USA (western states),blm_land_status_fetch (guidance),Public Domain,Annual,"Federal land ownership and management"
Canada,CA,Canadian Legal Subdivisions,Provincial Registries,Vector,Vector,Canada (by province),cls_canada_fetch (guidance),Varies by province,Varies,"Provincial land registry systems, not unified"
Canada,CA,First Nations Lands,INAC,Vector,Vector,Canada,firstnations_lands_fetch (guidance),Free/Open,Annual,"Reserve lands and treaty areas"
Canada,CA,Ontario Parcel Register,MPAC,Vector,Vector,Ontario,mpac_parcels_fetch (guidance),Commercial,Annual,"Municipal Property Assessment Corporation"
Canada,CA,BC Parcel Fabric,BC Assessment,Vector,Vector,British Columbia,bcassessment_fetch (guidance),Commercial,Annual,"Provincial assessment parcels"
Europe,EU,INSPIRE Cadastral Parcels,EU Member States,Vector,Vector,EU27 (variable implementation),inspire_cadastre_fetch (guidance),Free/Open,Varies,"Harmonized cadastral data under INSPIRE directive"
France,FR,Cadastre Parcellaire,DGFiP,Vector,Vector,France,cadastre_france_fetch (guidance),Free/Open,Continuous,"600k+ communes, complete national coverage"
France,FR,Plan Cadastral Informatisé,IGN/DGFiP,Vector,Vector,France,pci_france_fetch (guidance),Free/Open,Continuous,"Digital cadastral plan with parcel boundaries"
France,FR,Fichiers fonciers,Cerema,Vector + attributes,Vector,France,fichiers_fonciers_fetch (guidance),Restricted (gov/research),Annual,"Detailed property ownership and tax data"
Germany,DE,ALKIS (Amtliches Liegenschaftskataster),AdV,Vector,Vector,Germany,alkis_fetch (guidance),Commercial/Gov,Continuous,"Official cadastre, 16 federal states"
Germany,DE,Flurstücke (Parcels),State Cadastral Offices,Vector,Vector,Germany (by state),flurstuecke_fetch (guidance),Commercial,Continuous,"Cadastral parcels by Bundesland"
Germany,DE,OpenData ALKIS,Some German States,Vector,Vector,Germany (partial),opendata_alkis_fetch (guidance),Free/Open,Varies by state,"Hamburg, NRW, others provide open cadastre"
Italy,IT,Catasto Terreni,Agenzia delle Entrate,Vector,Vector,Italy,catasto_terreni_fetch (restricted - contact provider),Restricted access,Continuous,"Land parcels cadastre - requires institutional access"
Italy,IT,Catasto Fabbricati,Agenzia delle Entrate,Vector,Vector,Italy,catasto_fabbricati_fetch (restricted - contact provider),Restricted access,Continuous,"Building/property cadastre - requires institutional access"
Italy,IT,Catasto WMS,Agenzia delle Entrate,Vector (WMS),Vector,Italy,catasto_wms_fetch (view-only WMS),Free viewing only,Continuous,"Web map service for visualization only, no vector download"
Spain,ES,Sede Electrónica del Catastro,Dirección General del Catastro,Vector,Vector,Spain,catastro_spain_fetch (guidance),Free/Open,Continuous,"Complete national cadastre with ownership"
Spain,ES,INSPIRE Catastro,Catastro Spain,Vector,Vector,Spain,inspire_catastro_fetch (guidance),Free/Open,Continuous,"INSPIRE-compliant cadastral parcels"
