Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,WorldClim v2.1,WorldClim,1000 (1km),Raster,Global,worldclim_fetch (guidance),CC-BY-SA 4.0,Static (1970-2000 baseline),"19 bioclimatic variables, temperature, precipitation"
GLOBAL,GL,CHELSA v2.1,CHELSA,1000 (1km),Raster,Global,chelsa_fetch (guidance),CC-BY 4.0,Static (1981-2010),"High-resolution climatologies, 19 bioclim variables"
GLOBAL,GL,CRU TS v4.07,University of East Anglia,50000 (50km),Raster,Global (land),cru_fetch (guidance),Open,Monthly (1901-present),"Climate Research Unit gridded time series"
GLOBAL,GL,ERA5 Reanalysis,ECMWF/Copernicus,31000 (0.28°),Raster,Global,era5_fetch (guidance),Free/Open,Hourly (1940-present),"Comprehensive atmospheric reanalysis, temperature, precipitation, wind"
GLOBAL,GL,ERA5-Land,ECMWF/Copernicus,11000 (0.1°),Raster,Global (land),era5_land_fetch (guidance),Free/Open,Hourly (1950-present),"High-resolution land component"
GLOBAL,GL,CHIRPS Precipitation,UCSB/USGS,5000 (5km),Raster,50°S to 50°N,chirps_fetch (guidance),Public Domain,Daily/Pentadal (1981-present),"Climate Hazards Group InfraRed Precipitation with Stations"
GLOBAL,GL,GPM IMERG Precipitation,NASA,10000 (0.1°),Raster,Global (60°S-60°N),gpm_fetch (guidance),Public Domain,30-min (2000-present),"Global Precipitation Measurement mission"
GLOBAL,GL,TRMM Precipitation,NASA,25000 (0.25°),Raster,50°S to 50°N,trmm_fetch (guidance),Public Domain,Daily (1998-2019),"Tropical Rainfall Measuring Mission (legacy)"
GLOBAL,GL,MOD10A1 Snow Cover,NASA,500,Raster,Global,modis_snow_fetch (guidance),Public Domain,Daily (2000-present),"MODIS daily snow cover"
GLOBAL,GL,VIIRS Snow Cover,NOAA,375,Raster,Global,viirs_snow_fetch (guidance),Public Domain,Daily (2012-present),"Better resolution than MODIS"
GLOBAL,GL,ESA CCI Snow Cover,ESA,1000,Raster,Global,esa_snow_fetch (guidance),Free/Open,Daily (1979-present),"Long-term snow cover time series"
GLOBAL,GL,IMS Snow/Ice Cover,NOAA,1000/4000,Raster,Northern Hemisphere,ims_snow_fetch (guidance),Public Domain,Daily (1997-present),"Interactive Multisensor Snow and Ice Mapping"
GLOBAL,GL,Permafrost Zones,IPA,1000000 (1:1M),Raster/Vector,Northern Hemisphere,permafrost_fetch (guidance),Free/Open,Static,"Circum-Arctic permafrost extent"
GLOBAL,GL,Global Aridity Index,CGIAR,1000,Raster,Global,aridity_index_fetch (guidance),CC-BY 4.0,Static,"Ratio of precipitation to potential evapotranspiration"
GLOBAL,GL,TerraClimate,University of Idaho,4000 (4km),Raster,Global,terraclimate_fetch (guidance),Public Domain,Monthly (1958-present),"Water balance variables, evapotranspiration, soil moisture"
USA,US,PRISM Climate Data,Oregon State,800 (800m),Raster,USA (CONUS),prism_fetch (guidance),Free for non-commercial,Daily/Monthly (1895-present),"Parameter-elevation Relationships on Independent Slopes Model"
