country,country_code,dataset_name,provider,resolution_m,coverage,data_format,implementation_status,fetch_tool,url,license,notes
# TIER 1 OIL & GAS COUNTRIES (by production & reserves)
USA,US,3DEP 1m LiDAR,USGS,1,USA (partial),GeoTIFF,implemented,dem_fetch,https://www.usgs.gov/3d-elevation-program,Public Domain,Urban and priority areas
USA,US,3DEP 10m DEM,USGS,10,USA (national),GeoTIFF,implemented,dem_fetch,https://www.usgs.gov/3d-elevation-program,Public Domain,National coverage
USA,US,NED 30m,USGS,30,USA (national),GeoTIFF,implemented,dem_fetch (srtm),https://www.usgs.gov/national-elevation,Public Domain,Legacy - use 3DEP
Saudi Arabia,SA,SRTM 30m,NASA/USGS,30,Global coverage,GeoTIFF,implemented,dem_fetch (srtm),https://lpdaac.usgs.gov/,Public Domain,Best available for KSA
Saudi Arabia,SA,ALOS World 3D,JAXA,30,Global coverage,GeoTIFF,not_implemented,future,https://www.eorc.jaxa.jp/ALOS/en/dataset/aw3d30/aw3d30_e.htm,Free,Alternative to SRTM
Russia,RU,ALOS World 3D,JAXA,30,Global coverage,GeoTIFF,not_implemented,future,https://www.eorc.jaxa.jp/ALOS/en/dataset/aw3d30/aw3d30_e.htm,Free,Best global option
Russia,RU,SRTM 30m,NASA/USGS,30,Below 60N only,GeoTIFF,implemented,dem_fetch (srtm),https://lpdaac.usgs.gov/,Public Domain,Limited N coverage
Russia,RU,ASTER GDEM,NASA/METI,30,Global coverage,GeoTIFF,not_implemented,future,https://asterweb.jpl.nasa.gov/,Public Domain,Alternative
Canada,CA,CDEM,NRCan,20,Canada (national),GeoTIFF,not_implemented,future,https://open.canada.ca/data/en/dataset/7f245e4d-76c2-4caa-951a-45d1d2051333,Open,High Res DEM
Canada,CA,HRDEM,NRCan,1-2,Canada (partial),GeoTIFF,not_implemented,future,https://open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,Open,LiDAR where available
Canada,CA,SRTM 30m,NASA/USGS,30,Below 60N only,GeoTIFF,implemented,dem_fetch (srtm),https://lpdaac.usgs.gov/,Public Domain,Southern Canada only
Iraq,IQ,SRTM 30m,NASA/USGS,30,Global coverage,GeoTIFF,implemented,dem_fetch (srtm),https://lpdaac.usgs.gov/,Public Domain,Best available
Iraq,IQ,ASTER GDEM,NASA/METI,30,Global coverage,GeoTIFF,not_implemented,future,https://asterweb.jpl.nasa.gov/,Public Domain,Alternative
