Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,OpenStreetMap Waterways,OSM Community,Variable,Vector,Global,osm_waterways_fetch,ODbL,Continuous,"Rivers, streams, canals with attributes (width, type)"
GLOBAL,GL,Global Surface Water 1984-2021,JRC/Google,30,Raster,Global,global_surface_water_fetch,Free/Open,Static (1984-2021),"Water occurrence, seasonality, transitions"
GLOBAL,GL,HydroSHEDS River Network,WWF/USGS,Variable (90m-500m),Vector/Raster,Global (excl. polar),hydrosheds_fetch (guidance),Free/Open,Static,"Hydrologically conditioned DEM-derived"
GLOBAL,GL,HydroRIVERS v1.0,HydroSHEDS,Vector,Vector,Global (excl. polar),hydrorivers_fetch (guidance),Free/Open,Static,"Global river network, flow attributes"
GLOBAL,GL,HydroLAKES v1.0,HydroSHEDS,Vector,Vector,Global,hydrolakes_fetch (guidance),Free/Open,Static,"Global lake polygons >10 ha, 1.4M lakes"
GLOBAL,GL,Global Lakes and Wetlands,WWF/Lehner,Vector,Vector,Global,glwd_fetch (guidance),Free/Open,Static,"Global Lakes and Wetlands Database"
GLOBAL,GL,Global Wetlands,CIFOR,230,Raster,Global,global_wetlands_fetch (guidance),Free/Open,Static,"Wetland extent and dynamics"
GLOBAL,GL,ESA WorldCover Water,ESA,10,Raster,Global,esa_worldcover_fetch,Free/Open,Annual,"Class 80: Permanent water bodies from land cover"
GLOBAL,GL,MERIT Hydro,University of Tokyo,90,Raster,Global,merit_hydro_fetch (guidance),Free/Open,Static,"Multi-Error-Removed Improved-Terrain hydrography"
GLOBAL,GL,Global Flood Database,Cloud to Street,30,Raster,Global (2000-2023),global_flood_database_fetch (guidance),Free/Open,Event-based,"Historical flood extents from satellites"
USA,US,National Hydrography Dataset Plus (NHDPlus),USGS,Vector (1:100k),Vector,USA,nhdplus_fetch,Public Domain,Continuous,"High-resolution stream network, flow attributes"
USA,US,National Hydrography Dataset High Res,USGS,Vector (1:24k),Vector,USA,nhd_hr_fetch (guidance),Public Domain,Continuous,"Best resolution for USA, detailed attributes"
USA,US,USGS WaterWatch,USGS,Vector,Vector,USA,waterwatch_fetch (guidance),Public Domain,Real-time,"Real-time streamflow data"
USA,US,National Wetlands Inventory,USFWS,Vector,Vector,USA,nwi_fetch (guidance),Public Domain,Continuous,"Wetland classification, best for USA"
USA,US,3DEP Surface Water,USGS,10,Raster,USA (derived from 3DEP),dem_fetch,Public Domain,Continuous,"Water surface from high-res DEM"
Canada,CA,National Hydro Network (NHN),NRCan,Vector (1:50k),Vector,Canada,nhn_canada_fetch (guidance),Free/Open,Continuous,"Canadian hydrographic network"
