Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,ESA WorldCover 2021,ESA,10,Raster,Global,esa_worldcover_fetch,Free/Open,Annual,"11 land cover classes, best global 10m product"
GLOBAL,GL,ESA WorldCover 2020,ESA,10,Raster,Global,esa_worldcover_fetch,Free/Open,Annual,"11 land cover classes, legacy version"
GLOBAL,GL,Google Dynamic World V1,Google/WRI,10,Raster,Global,google_dynamicworld_fetch,Free/Open,Near real-time,"9 land cover bands, probabilistic classification"
GLOBAL,GL,Copernicus Global Land Cover 100m,Copernicus,100,Raster,Global,cgls_landcover_fetch,Free/Open,Annual,"23 land cover classes, moderate resolution"
GLOBAL,GL,MODIS Land Cover MCD12Q1,NASA,500,Raster,Global,modis_landcover_fetch,Free/Open,Annual,"Multiple classification schemes (IGBP, UMD, LAI)"
GLOBAL,GL,ESA CCI Land Cover,ESA,300,Raster,Global,esa_cci_fetch,Free/Open,Annual,"Time series 1992-2020, 22 classes"
GLOBAL,GL,Copernicus CGLS Land Cover 100m,Copernicus,100,Raster,Global,cgls_landcover_fetch,Free/Open,Annual,"Discrete and fractional land cover"
GLOBAL,GL,FROM-GLC10 2017,Tsinghua University,10,Raster,Global,from_glc_fetch (guidance),Free/Open,Static,"10m global land cover, 10 classes"
USA,US,NLCD 2021,USGS,30,Raster,USA (CONUS),nlcd_fetch,Public Domain,Every 2-3 years,"20 Anderson Level II classes, best for USA"
USA,US,NLCD 2019,USGS,30,Raster,USA (CONUS),nlcd_fetch,Public Domain,Legacy,"20 classes, previous version"
USA,US,NLCD 2016,USGS,30,Raster,USA (CONUS),nlcd_fetch,Public Domain,Legacy,"20 classes, older version"
USA,US,LANDFIRE EVT 2022,USGS,30,Raster,USA,landfire_fetch (guidance),Public Domain,Biennial,"Existing Vegetation Type, 1000+ classes"
USA,US,LANDFIRE EVC 2022,USGS,30,Raster,USA,landfire_fetch (guidance),Public Domain,Biennial,"Existing Vegetation Cover percentage"
USA,US,GAP/USGS PADUS,USGS,30,Raster,USA,gap_landcover_fetch (guidance),Public Domain,Annual,"Ecological systems classification"
Canada,CA,AAFC Annual Crop Inventory,Agriculture Canada,30,Raster,Canada (agricultural areas),aafc_crop_fetch (guidance),Free/Open,Annual,"Detailed crop types, agricultural focus"
Canada,CA,Canadian Land Cover ~2020,NRCan,30,Raster,Canada (national),nrcan_landcover_fetch (guidance),Free/Open,~5 years,"19 land cover classes, national coverage"
Europe,EU,Corine Land Cover 2018,Copernicus,100,Raster/Vector,EU27 + neighbors,corine_fetch,Free/Open,Every 6 years,"44 land cover classes, European standard"
Europe,EU,Corine Land Cover 2012,Copernicus,100,Raster/Vector,EU27 + neighbors,corine_fetch,Free/Open,Legacy,"44 classes, previous version"
Europe,EU,Urban Atlas 2018,Copernicus,10,Raster/Vector,EU cities >50k pop,urban_atlas_fetch (guidance),Free/Open,Every 6 years,"Detailed urban land use, 27 classes"
France,FR,OSO Land Cover,CESBIO/CNES,10,Raster,France (national),oso_france_fetch (guidance),Free/Open,Annual,"23 classes, Sentinel-2 based"
Germany,DE,ATKIS Basis-DLM,BKG,Vector,Vector,Germany (national),atkis_fetch (guidance),Free/Open,Continuous,"Official topographic-cartographic information"
Italy,IT,Corine Land Cover 2018,ISPRA,100,Raster/Vector,Italy (national),corine_fetch,Free/Open,Every 6 years,"European standard adapted for Italy"
Spain,ES,SIOSE Land Cover,IGN Spain,25,Raster/Vector,Spain (national),siose_fetch (guidance),Free/Open,~4 years,"Spanish land use/cover system, detailed"
UK,GB,UK Land Cover Map 2021,CEH,25,Raster,UK (national),ukceh_landcover_fetch (guidance),Open,~5 years,"21 Broad Habitat classes, national coverage"
Norway,NO,AR50 Land Cover,Kartverket,50,Raster/Vector,Norway (national),ar50_fetch (guidance),Free/Open,Annual,"Norwegian land resource map"
Russia,RU,ESA WorldCover 2021,ESA,10,Raster,Russia (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Russia, 11 classes"
Russia,RU,MODIS Land Cover,NASA,500,Raster,Russia (use global),modis_landcover_fetch,Free/Open,Annual,"Alternative moderate resolution"
China,CN,FROM-GLC10 2017,Tsinghua University,10,Raster,China (national emphasis),from_glc_fetch (guidance),Free/Open,Static,"Chinese-developed global product"
China,CN,GlobeLand30 2020,NGCC China,30,Raster,Global (China focus),globeland30_fetch (guidance),Free/Open,Every 10 years,"10 land cover classes, Chinese product"
China,CN,CLCD Annual China Land Cover,Wuhan University,30,Raster,China (1990-2022),clcd_fetch (guidance),Free/Open,Annual time series,"China Land Cover Dataset, 30m annual"
Australia,AU,DLCD Dynamic Land Cover,Geoscience Australia,250,Raster,Australia (national),dlcd_australia_fetch (guidance),Free/Open,Quarterly,"250m, updated quarterly from MODIS"
