Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
GLOBAL,GL,World Database on Protected Areas,UNEP-WCMC,Vector,Vector,Global,wdpa_fetch,Free/Open (non-commercial),Monthly,"290k+ protected areas, IUCN categories I-VI"
GLOBAL,GL,Protected Planet,UNEP-WCMC,Vector,Vector,Global,wdpa_fetch,Free/Open (non-commercial),Monthly,"Same as WDPA, user-friendly portal"
GLOBAL,GL,UNESCO World Heritage Sites,UNESCO,Vector (point/polygon),Vector,Global,unesco_heritage_fetch (guidance),Free/Open,Annual,"1100+ cultural and natural heritage sites"
GLOBAL,GL,Ramsar Wetlands,Ramsar Convention,Vector,Vector,Global,ramsar_fetch (guidance),Free/Open,Annual,"2400+ wetlands of international importance"
GLOBAL,GL,Key Biodiversity Areas,BirdLife/IUCN,Vector,Vector,Global,kba_fetch (guidance),Restricted access,Annual,"16000+ sites critical for biodiversity"
Europe,EU,Natura 2000 Sites,EEA,Vector,Vector,EU27 + neighbors,natura2000_fetch,Free/Open,Annual,"27000+ Special Areas of Conservation and Special Protection Areas"
Europe,EU,Emerald Network,Council of Europe,Vector,Vector,Europe (non-EU),emerald_network_fetch (guidance),Free/Open,Annual,"Areas of Special Conservation Interest outside EU"
Europe,EU,Nationally Designated Areas,EEA,Vector,Vector,EU27,cdda_fetch (guidance),Free/Open,Annual,"Common Database on Designated Areas"
USA,US,Protected Areas Database (PAD-US),USGS,Vector,Vector,USA,padus_fetch (guidance),Public Domain,Annual,"National parks, wilderness, conservation easements"
USA,US,National Parks Boundaries,NPS,Vector,Vector,USA,nps_boundaries_fetch (guidance),Public Domain,Continuous,"424 National Park Service units"
USA,US,National Wilderness Areas,Wilderness.net,Vector,Vector,USA,wilderness_fetch (guidance),Public Domain,Annual,"800+ wilderness areas"
USA,US,National Wildlife Refuges,USFWS,Vector,Vector,USA,nwr_fetch (guidance),Public Domain,Annual,"560+ wildlife refuges"
USA,US,National Forests,USFS,Vector,Vector,USA,national_forests_fetch (guidance),Public Domain,Annual,"154 national forests and grasslands"
