ISO3,Country,Sentinel2,WorldCover,CopernicusDEM,GSW,OSM,WDPA,WorldPop,FEMA_NFHL,NHD,NPMS,Lidar1m
ABW,Aruba,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AFG,Afghanistan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AGO,Angola,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AIA,Anguilla,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ALA,Åland Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ALB,Albania,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AND,Andorra,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ARE,United Arab Emirates,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ARG,Argentina,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ARM,Armenia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ASM,American Samoa,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ATA,Antarctica,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ATF,French Southern Territories,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ATG,Antigua and Barbuda,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AUS,Australia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AUT,Austria,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
AZE,Azerbaijan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BDI,Burundi,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BEL,Belgium,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BEN,Benin,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BES,"Bonaire, Sint Eustatius and Saba",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BFA,Burkina Faso,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BGD,Bangladesh,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BGR,Bulgaria,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BHR,Bahrain,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BHS,Bahamas,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BIH,Bosnia and Herzegovina,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BLM,Saint Barthélemy,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BLR,Belarus,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BLZ,Belize,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BMU,Bermuda,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BOL,"Bolivia, Plurinational State of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BRA,Brazil,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BRB,Barbados,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BRN,Brunei Darussalam,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BTN,Bhutan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BVT,Bouvet Island,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
BWA,Botswana,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CAF,Central African Republic,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CAN,Canada,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CCK,Cocos (Keeling) Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CHE,Switzerland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CHL,Chile,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CHN,China,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CIV,Côte d'Ivoire,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CMR,Cameroon,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
COD,"Congo, Democratic Republic of the",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
COG,Congo,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
COK,Cook Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
COL,Colombia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
COM,Comoros,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CPV,Cabo Verde,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CRI,Costa Rica,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CUB,Cuba,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CUW,Curaçao,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CXR,Christmas Island,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CYM,Cayman Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CYP,Cyprus,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
CZE,Czechia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DEU,Germany,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DJI,Djibouti,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DMA,Dominica,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DNK,Denmark,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DOM,Dominican Republic,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
DZA,Algeria,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ECU,Ecuador,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
EGY,Egypt,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ERI,Eritrea,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ESH,Western Sahara,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ESP,Spain,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
