ISO3,Country,Dataset,Source,Type,Access,TemporalStart,TemporalEnd,Frequency,Coverage
WLD,World/Global,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
WLD,World/Global,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
WLD,World/Global,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
WLD,World/Global,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
WLD,World/Global,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
WLD,World/Global,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
WLD,World/Global,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
WLD,World/Global,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
WLD,World/Global,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
WLD,World/Global,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
WLD,World/Global,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AFG,Afghanistan,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AFG,Afghanistan,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AFG,Afghanistan,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AFG,Afghanistan,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AFG,Afghanistan,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AFG,Afghanistan,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AFG,Afghanistan,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AFG,Afghanistan,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AFG,Afghanistan,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AFG,Afghanistan,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AFG,Afghanistan,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ALB,Albania,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ALB,Albania,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ALB,Albania,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ALB,Albania,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ALB,Albania,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ALB,Albania,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ALB,Albania,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ALB,Albania,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ALB,Albania,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ALB,Albania,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ALB,Albania,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
DZA,Algeria,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
DZA,Algeria,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
DZA,Algeria,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
DZA,Algeria,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
DZA,Algeria,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
DZA,Algeria,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
DZA,Algeria,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
DZA,Algeria,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
DZA,Algeria,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
DZA,Algeria,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
DZA,Algeria,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ASM,American Samoa,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ASM,American Samoa,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ASM,American Samoa,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ASM,American Samoa,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ASM,American Samoa,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ASM,American Samoa,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ASM,American Samoa,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ASM,American Samoa,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ASM,American Samoa,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ASM,American Samoa,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ASM,American Samoa,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AND,Andorra,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AND,Andorra,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AND,Andorra,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
