Based on the TINITALY tile map image showing all 193 tiles covering Italy, here's a comprehensive reference table. The coordinates are in **UTM Zone 32N (EPSG:32632)** for tiles starting with "W" and **UTM Zone 33N (EPSG:32633)** for tiles starting with "E":

## **TINITALY Complete Tile Coverage Table**

### **Northern Italy (Alps & Po Valley)**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W31565_s10.zip | W31565 | 300000, 5200000 | 350000, 5150000 | 46.4°N-46.9°N, 6.8°E-7.4°E |
| W32565_s10.zip | W32565 | 300000, 5150000 | 350000, 5100000 | 45.9°N-46.4°N, 6.8°E-7.4°E |
| W34563_s10.zip | W34563 | 350000, 5150000 | 400000, 5100000 | 45.9°N-46.4°N, 7.4°E-8.1°E |
| W36565_s10.zip | W36565 | 350000, 5200000 | 400000, 5150000 | 46.4°N-46.9°N, 7.4°E-8.1°E |
| W38565_s10.zip | W38565 | 400000, 5200000 | 450000, 5150000 | 46.4°N-46.9°N, 8.1°E-8.7°E |
| W40565_s10.zip | W40565 | 400000, 5150000 | 450000, 5100000 | 45.9°N-46.4°N, 8.1°E-8.7°E |
| W42565_s10.zip | W42565 | 450000, 5200000 | 500000, 5150000 | 46.4°N-46.9°N, 8.7°E-9.3°E |
| W44565_s10.zip | W44565 | 450000, 5150000 | 500000, 5100000 | 45.9°N-46.4°N, 8.7°E-9.3°E |
| W46560_s10.zip | W46560 | 500000, 5150000 | 550000, 5100000 | 45.9°N-46.4°N, 9.3°E-10.0°E |
| W48560_s10.zip | W48560 | 500000, 5100000 | 550000, 5050000 | 45.4°N-45.9°N, 9.3°E-10.0°E |
| W50560_s10.zip | W50560 | 550000, 5150000 | 600000, 5100000 | 45.9°N-46.4°N, 10.0°E-10.6°E |
| W52560_s10.zip | W52560 | 550000, 5100000 | 600000, 5050000 | 45.4°N-45.9°N, 10.0°E-10.6°E |
| W54560_s10.zip | W54560 | 600000, 5150000 | 650000, 5100000 | 45.9°N-46.4°N, 10.6°E-11.3°E |
