# TIER 1 Country Best Datasets - All Countries
# Generated:,2025-10-08 17:07:30

Country,Category,Dataset Name,Source/Provider,Resolution,Temporal Coverage,Update Frequency,Access,API Available,URL,Quality (1-5),Notes
Saudi Arabia,Comprehensive inventory - Updated 2025-10-06 (Source: Perplexity Research),,,,,,,,,,
Saudi Arabia,Category,Dataset Name,Source/Provider,Resolution/Scale,Temporal Coverage,Update Frequency,Access,API Available,URL,Quality (1-5),Notes
Saudi Arabia,ELEVATION/TERRAIN (DEM),National Geological Survey DEMs,** Saudi Geological Survey (SGS),"** Variable, exploratory to reconnaissance scale (1:1,000,000 or larger)",** Current,** Periodic updates,** Restricted/requires request,** No public API documented,** https://ngd.sgs.gov.sa/en and https://ngp.sgs.gov.sa,3,** SGS maintains the National Geological Database (NGD) with geological and topographic maps for the Kingdom. Limited public documentation on resolution and accuracy. Best suited for regional-scale planning rather than detailed engineering design.[1][2][3]
Saudi Arabia,ELEVATION/TERRAIN (DEM),National LiDAR-derived DEMs,,,,,,,,3,
Saudi Arabia,ELEVATION/TERRAIN (DEM),Regional High-Resolution DEMs,** General Authority for Survey and Geospatial Information (GASGI/GEOSA),** Variable,** Current,** Ongoing,"** Restricted, open data portal launched in 2023",** Not documented,** https://geosa.gov.sa/en and https://www.geoportal.sa,2,** GASGI launched an open data portal in 2023 to improve geospatial infrastructure. Specific DEM products and their resolutions require formal inquiry. The authority follows international UN standards for geospatial data.[5][6][7][8]
Saudi Arabia,ELEVATION/TERRAIN (DEM),Best Global DEM - Copernicus DEM GLO-30,** European Space Agency (ESA) / Copernicus Programme,** 30 meters (GLO-30) and 90 meters (GLO-90),** 2010-2015 (TanDEM-X acquisition period),** Static dataset with periodic releases,** Open/Free (GLO-30 and GLO-90 freely available globally),"** Yes - Copernicus Data Space Ecosystem API, Sentinel Hub API, Google Earth Engine API, AWS S3",** https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,5,** Highest quality global DEM available. Digital Surface Model (DSM) representing Earth's surface including buildings and vegetation. Derived from TanDEM-X radar data with edited water bodies and coastlines. Vertical accuracy generally <10m. Excellent for Saudi Arabia with complete coverage. Recommended as primary DEM for pipeline routing.[9][10][11][12][13]
Saudi Arabia,ELEVATION/TERRAIN (DEM),Alternative Global DEMs,** NASA/USGS,** 30 meters (1-arc second),** February 2000,** Static,** Open/Free,"** Yes - USGS Earth Explorer, Google Earth Engine",** https://earthexplorer.usgs.gov,2,** Lower quality than SRTM and Copernicus DEM; not recommended for Saudi Arabia when better alternatives exist.[15]
Saudi Arabia,LAND COVER / LAND USE,National Land Use Maps,** General Authority for Survey and Geospatial Information (GASGI),** Variable,** Current,** Periodic,** Restricted/requires request,** Not documented,** https://geosa.gov.sa/en,3,** Specific national land cover products require inquiry through GASGI open data portal launched in 2023. Quality and resolution not publicly documented.[6][5]
Saudi Arabia,LAND COVER / LAND USE,Best Global Dataset - ESA WorldCover,** European Space Agency (ESA) WorldCover Consortium,** 10 meters,** 2020 and 2021 products available,"** Annual (2020, 2021 released; future updates planned)",** Open/Free (CC-BY-4.0 license),"** Yes - Google Earth Engine, direct download",** https://esa-worldcover.org/en and https://worldcover2021.esa.int/download,5,** Highest resolution global land cover product. 11 land cover classes based on Sentinel-1 and Sentinel-2 data. Excellent quality for Saudi Arabia with complete coverage. Delivered in 3×3 degree tiles. Recommended as primary land cover source.[16][17][18][19]
Saudi Arabia,LAND COVER / LAND USE,Sentinel-2 Land Use/Land Cover,** ESA/Esri,** 10 meters,** Annual time series available,** Annual,** Open/Free,"** Yes - ArcGIS Living Atlas, Google Earth Engine",** https://www.arcgis.com/home/item.html?id=cfcb7609de5f478eb7666240902d4d3d,4,** High-quality global LULC derived from Sentinel-2. Good for temporal analysis and change detection.[20][21]
