ISO3,Country,Dataset,Source,Type,Access,TemporalStart,TemporalEnd,Frequency,Coverage,URL
WLD,World/Global,Sentinel-2 L2A,ESA via Copernicus Data Space / Microsoft Planetary Computer,"Raster multispectral (13 bands: 10m/20m/60m)",Open,2015-06,Present,5-day revisit,Available,https://planetarycomputer.microsoft.com/dataset/sentinel-2-l2a
WLD,World/Global,ESA WorldCover,ESA via AWS S3 / Terrascope,Raster land cover (10m),Open,2020,2021,Annual (v100/v200),Available,https://esa-worldcover.org/en/data-access
WLD,World/Global,Copernicus DEM GLO-30,Copernicus Programme / ESA via OpenTopography,Raster DSM (30m / 1 arc-second),Open,2019,2026,Static baseline,Available,https://portal.opentopography.org/raster?opentopoID=OTSDEM.032021.4326.3
WLD,World/Global,Global Surface Water (GSW) v1.4,JRC / European Commission,Raster water occurrence/seasonality (30m),Open,1984,2021,Versioned updates,Available,https://global-surface-water.appspot.com/download
WLD,World/Global,OpenStreetMap,OpenStreetMap Foundation,Vector roads/railways/waterways/landuse/buildings,Open (ODbL),2004,Present,Continuous crowdsourced,Available,https://www.openstreetmap.org/
WLD,World/Global,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration required for commercial,1981,Present,Monthly,Available,https://www.protectedplanet.net/en/thematic-areas/wdpa
WLD,World/Global,WorldPop,WorldPop / University of Southampton,Raster population density (100m),Open (CC BY 4.0),2000,2030,Annual estimates,Available,https://www.worldpop.org/
WLD,World/Global,GHS-POP R2023A,JRC / European Commission (Global Human Settlement Layer),Raster population density (100m / 3 arc-seconds),Open,1975,2030,5-year intervals,Available,https://human-settlement.emergency.copernicus.eu/ghs_pop.php
WLD,World/Global,HydroSHEDS v1,WWF / USGS / McGill University,Vector hydrography and watersheds (90m-based),Open,2000,2000,Static (v2 in development),Available,https://www.hydrosheds.org/
WLD,World/Global,ERA5 Climate Reanalysis,ECMWF / Copernicus Climate Change Service,Raster climate data (0.25 deg / ~31km),Open,1940,Present,Hourly (5-day lag),Available,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
USA,United States,USGS 3DEP 1m DEM,USGS 3D Elevation Program,Raster DTM/DSM (1m LiDAR-derived),Open,2015,Present,Continuous expansion,Available (expanding),https://www.usgs.gov/3d-elevation-program
USA,United States,FEMA NFHL,Federal Emergency Management Agency,Vector flood hazard zones,Open,2003,Present,Rolling updates,Available,https://www.fema.gov/flood-maps/national-flood-hazard-layer
USA,United States,USGS NHD,U.S. Geological Survey,Vector hydrography (1:24000),Open,1999,Present,Rolling updates,Available,https://www.usgs.gov/national-hydrography/national-hydrography-dataset
USA,United States,NPMS (National Pipeline Mapping System),PHMSA / DOT,Vector pipelines,Restricted (CEII),2002,Present,Annual,Restricted access,https://www.npms.phmsa.dot.gov/
CAN,Canada,HRDEM (High Resolution DEM),Natural Resources Canada,Raster DTM/DSM (1-2m south / 5m north),Open,2017,Present,Continuous expansion,Available (expanding),https://open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995
CAN,Canada,NHN (National Hydro Network),Natural Resources Canada / GeoBase,Vector hydrography (1:50000),Open,2004,Present,Annual,Available,https://open.canada.ca/data/en/dataset/a4b190fe-e090-4e6d-881e-b87956c07977
GBR,United Kingdom,Environment Agency LiDAR,Environment Agency,Raster DTM/DSM (0.25-2m),Open (OGL),2006,Present,Continuous,Available (England),https://environment.data.gov.uk/
GBR,United Kingdom,OS Open Rivers,Ordnance Survey,Vector hydrography,Open (OGL),2015,Present,Quarterly,Available,https://www.ordnancesurvey.co.uk/products/os-open-rivers
DEU,Germany,DGM1 (Digital Terrain Model),BKG (Federal Agency for Cartography and Geodesy),Raster DTM (1m),Open/Commercial varies by state,2000,Present,Ongoing by state,Available,https://gdz.bkg.bund.de/
FRA,France,RGE ALTI,IGN France,Raster DTM (1m LiDAR / 5m photogrammetry),Open (Licence Ouverte),2010,Present,6-year cycle,Available,https://geoservices.ign.fr/rgealti
AUS,Australia,Elvis (Elevation Information System),Geoscience Australia,Raster DTM/DSM (1-5m LiDAR-derived),Open (CC BY 4.0),2010,Present,Continuous expansion,Available,https://elevation.fsdf.org.au/
NZL,New Zealand,LINZ LiDAR DEM,Land Information New Zealand,Raster DTM (1m LiDAR-derived),Open (CC BY 4.0),2012,Present,Ongoing,Available,https://data.linz.govt.nz/
NLD,Netherlands,AHN4 (Actueel Hoogtebestand Nederland),Rijkswaterstaat / PDOK,Raster DTM/DSM (0.5m LiDAR),Open (CC0),2020,2022,5-6 year cycle,Available,https://www.pdok.nl/introductie/-/article/actueel-hoogtebestand-nederland-ahn
CHE,Switzerland,swissALTI3D,swisstopo,Raster DTM (0.5-2m LiDAR),Open,2008,Present,6-year cycle,Available,https://www.swisstopo.admin.ch/en/height-model-swissalti3d
AUT,Austria,DTM Austria,BEV (Federal Office of Metrology and Surveying),Raster DTM (1m),Open/Commercial varies,2010,Present,Ongoing,Available,https://www.bev.gv.at/
DNK,Denmark,DHM/Punktsky (Danish Elevation Model),SDFI (Agency for Data Supply and Infrastructure),Raster DTM (0.4m LiDAR-derived),Open,2006,Present,5-year cycle,Available,https://dataforsyningen.dk/
NOR,Norway,DTM 1,Kartverket (Norwegian Mapping Authority),Raster DTM (1m LiDAR-derived),Open (CC BY 4.0),2016,Present,Ongoing,Available,https://hoydedata.no/
SWE,Sweden,National Elevation Model (NH),Lantmäteriet,Raster DTM/DSM (1-2m LiDAR-derived),Open,2009,Present,Ongoing,Available,https://www.lantmateriet.se/
